Date_Time,Q_recorded,Q_predicted_3,Q_abs_diff,Q_rel_diff,Q_diff,Q_sqr_diff,Q_sqr_rel_diff,Q_var_rec,Q_sqr_var_rec,Q_var_pre,Q_sqr_var_pre,Q_prod_var_rec_pre,delta_time,Q_rec_lft,Q_rec_rgt,Q_pre_lft,Q_pre_rgt,Q_ave_rec,Q_ave_pre
1997-10-07 18:17:00,0.228,0.128,0.1,0.4385964912280702,-0.1,0.010000000000000002,0.19236688211757466,-0.4353047210300429,0.18949020015104348,-0.5616738197424892,0.3154774797841183,0.24449926541288286,300.0,0.24,0.228,0.146,0.128,70.19999999999999,41.1
1997-10-07 18:22:00,0.224,0.113,0.111,0.4955357142857143,-0.111,0.012321,0.24555564413265307,-0.4393047210300429,0.19298863791928383,-0.5766738197424892,0.33255269437639295,0.2533355315073035,300.0,0.228,0.224,0.128,0.113,67.8,36.15
1997-10-07 18:27:00,0.216,0.1,0.11599999999999999,0.537037037037037,-0.11599999999999999,0.013455999999999997,0.28840877914951984,-0.44730472103004293,0.20008151345576453,-0.5896738197424892,0.34771521368969766,0.26376388343863394,300.0,0.224,0.216,0.113,0.1,66.0,31.950000000000003
1997-10-07 18:32:00,0.204,0.088,0.11599999999999999,0.5686274509803921,-0.11599999999999999,0.013455999999999997,0.32333717800845824,-0.45930472103004294,0.21096082676048558,-0.6016738197424892,0.3620113853635174,0.27635162592790435,300.0,0.216,0.204,0.1,0.088,63.0,28.2
1997-10-07 18:37:00,0.198,0.079,0.11900000000000001,0.601010101010101,-0.11900000000000001,0.014161000000000002,0.3612131415161718,-0.4653047210300429,0.21650848341284604,-0.6106738197424892,0.3729225141188822,0.28414941133562965,300.0,0.204,0.198,0.088,0.079,60.300000000000004,25.049999999999997
1997-10-07 18:42:00,0.191,0.07,0.121,0.6335078534031413,-0.121,0.014641,0.40133220032345596,-0.4723047210300429,0.22307174950726663,-0.6196738197424891,0.3839956428742469,0.29267487056309743,300.0,0.198,0.191,0.079,0.07,58.35,22.35
1997-10-07 18:47:00,0.184,0.063,0.121,0.657608695652174,-0.121,0.014641,0.43244919659735354,-0.4793047210300429,0.22973301560168724,-0.6266738197424893,0.39272007635064193,0.30036772034850523,300.0,0.191,0.184,0.07,0.063,56.25,19.950000000000003
1997-10-07 18:52:00,0.174,0.056,0.118,0.67816091954023,-0.118,0.013923999999999999,0.4599022327916502,-0.4893047210300429,0.2394191100222881,-0.6336738197424892,0.40154250982703665,0.31005959159314034,300.0,0.184,0.174,0.063,0.056,53.699999999999996,17.849999999999998
1997-10-07 18:57:00,0.174,0.05,0.12399999999999999,0.7126436781609196,-0.12399999999999999,0.015375999999999996,0.5078610120227243,-0.4893047210300429,0.2394191100222881,-0.6396738197424892,0.4091825956639465,0.3129954199193206,300.0,0.174,0.174,0.056,0.05,52.199999999999996,15.900000000000002
1997-10-07 19:02:00,0.174,0.053,0.121,0.6954022988505747,-0.121,0.014641,0.483584357246664,-0.4893047210300429,0.2394191100222881,-0.6366738197424892,0.40535355274549156,0.3115275057562305,300.0,0.174,0.174,0.05,0.053,52.199999999999996,15.450000000000001
1997-10-07 19:07:00,0.174,0.061,0.11299999999999999,0.6494252873563218,-0.11299999999999999,0.012768999999999997,0.4217532038578411,-0.4893047210300429,0.2394191100222881,-0.6286738197424893,0.3952307716296119,0.3076130679879902,300.0,0.174,0.174,0.053,0.061,52.199999999999996,17.099999999999998
1997-10-07 19:12:00,0.174,0.06,0.11399999999999999,0.6551724137931034,-0.11399999999999999,0.012995999999999997,0.42925089179548154,-0.4893047210300429,0.2394191100222881,-0.6296738197424891,0.3964891192690967,0.3081023727090202,300.0,0.174,0.174,0.061,0.06,52.199999999999996,18.15
1997-10-07 19:17:00,0.174,0.059,0.11499999999999999,0.6609195402298851,-0.11499999999999999,0.013224999999999997,0.43681463865768266,-0.4893047210300429,0.2394191100222881,-0.6306738197424893,0.3977494669085818,0.3085916774300503,300.0,0.174,0.174,0.06,0.059,52.199999999999996,17.849999999999998
1997-10-07 19:22:00,0.174,0.06,0.11399999999999999,0.6551724137931034,-0.11399999999999999,0.012995999999999997,0.42925089179548154,-0.4893047210300429,0.2394191100222881,-0.6296738197424891,0.3964891192690967,0.3081023727090202,300.0,0.174,0.174,0.059,0.06,52.199999999999996,17.849999999999998
1997-10-07 19:27:00,0.174,0.058,0.11599999999999999,0.6666666666666666,-0.11599999999999999,0.013455999999999997,0.4444444444444444,-0.4893047210300429,0.2394191100222881,-0.6316738197424892,0.39901181454806667,0.30908098215108026,300.0,0.174,0.174,0.06,0.058,52.199999999999996,17.7
1997-10-07 19:32:00,0.174,0.053,0.121,0.6954022988505747,-0.121,0.014641,0.483584357246664,-0.4893047210300429,0.2394191100222881,-0.6366738197424892,0.40535355274549156,0.3115275057562305,300.0,0.174,0.174,0.058,0.053,52.199999999999996,16.65
1997-10-07 19:37:00,0.175,0.048,0.127,0.7257142857142858,-0.127,0.016129,0.526661224489796,-0.4883047210300429,0.23844150058022803,-0.6416738197424892,0.41174529094291645,0.3133323555416382,300.0,0.174,0.175,0.053,0.048,52.349999999999994,15.15
1997-10-07 19:42:00,0.166,0.043,0.12300000000000001,0.7409638554216867,-0.12300000000000001,0.015129000000000004,0.5490274350413703,-0.49730472103004286,0.24731198555876877,-0.6466738197424892,0.4181870291403414,0.3215939435244708,300.0,0.175,0.166,0.048,0.043,51.15,13.65
1997-10-07 19:47:00,0.151,0.038,0.11299999999999999,0.7483443708609271,-0.11299999999999999,0.012768999999999997,0.5600192973992367,-0.5123047210300429,0.26245612718967004,-0.6516738197424892,0.42467876733776627,0.33385557442575836,300.0,0.166,0.151,0.043,0.038,47.55,12.149999999999999
1997-10-07 19:52:00,0.148,0.034,0.11399999999999999,0.7702702702702703,-0.11399999999999999,0.012995999999999997,0.5933162892622352,-0.5153047210300429,0.26553895551585033,-0.6556738197424892,0.4299081578957062,0.337871814769106,300.0,0.151,0.148,0.038,0.034,44.85,10.8
1997-10-07 19:57:00,0.148,0.03,0.118,0.7972972972972973,-0.118,0.013923999999999999,0.6356829802775749,-0.5153047210300429,0.26553895551585033,-0.6596738197424892,0.4351695484536461,0.3399330336532262,300.0,0.148,0.148,0.034,0.03,44.4,9.6
1997-10-07 20:02:00,0.148,0.027,0.121,0.8175675675675675,-0.121,0.014641,0.6684167275383491,-0.5153047210300429,0.26553895551585033,-0.6626738197424892,0.43913659137210104,0.3414789478163163,300.0,0.148,0.148,0.03,0.027,44.4,8.549999999999999
1997-10-07 20:07:00,0.148,0.024,0.124,0.8378378378378378,-0.124,0.015375999999999999,0.701972242512783,-0.5153047210300429,0.26553895551585033,-0.6656738197424892,0.44312163429055595,0.34302486197940646,300.0,0.148,0.148,0.027,0.024,44.4,7.65
1997-10-07 20:12:00,0.148,0.022,0.126,0.8513513513513514,-0.126,0.015876,0.7247991234477722,-0.5153047210300429,0.26553895551585033,-0.6676738197424892,0.44578832956952597,0.34405547142146653,300.0,0.148,0.148,0.024,0.022,44.4,6.8999999999999995
1997-10-07 20:17:00,0.148,0.02,0.128,0.8648648648648649,-0.128,0.016384,0.7479912344777211,-0.5153047210300429,0.26553895551585033,-0.6696738197424892,0.4484630248484959,0.3450860808635266,300.0,0.148,0.148,0.022,0.02,44.4,6.299999999999999
1997-10-07 20:22:00,0.148,0.018,0.13,0.8783783783783784,-0.13,0.016900000000000002,0.7715485756026297,-0.5153047210300429,0.26553895551585033,-0.6716738197424892,0.45114572012746584,0.34611669030558667,300.0,0.148,0.148,0.02,0.018,44.4,5.7
1997-10-07 20:27:00,0.148,0.016,0.132,0.891891891891892,-0.132,0.017424000000000002,0.7954711468224983,-0.5153047210300429,0.26553895551585033,-0.6736738197424892,0.4538364154064358,0.3471472997476468,300.0,0.148,0.148,0.018,0.016,44.4,5.1000000000000005
1997-10-07 20:32:00,0.148,0.014,0.13399999999999998,0.9054054054054053,-0.13399999999999998,0.017955999999999996,0.8197589481373263,-0.5153047210300429,0.26553895551585033,-0.6756738197424892,0.45653511068540575,0.34817790918970687,300.0,0.148,0.148,0.016,0.014,44.4,4.5
