t_min,t_sec,t_rel,y,q,Q,V
156.0,9360.0,9261.369863013699,0.0005073974196663169,5.27106198506514e-06,0.002108424794026056,2715.9773278929574
157.0,9420.0,9321.369863013699,0.0004996230757359856,5.137145271569947e-06,0.0020548581086279787,2716.102226380037
158.0,9480.0,9381.369863013699,0.0004920444980963658,5.007930957909171e-06,0.0020031723831636684,2716.223967294791
159.0,9540.0,9441.369863013699,0.0004846548836503214,4.8832094787790035e-06,0.0019532837915116016,2716.342660980031
160.0,9600.0,9501.369863013699,0.00047744772884921724,4.762782535725221e-06,0.0019051130142900886,2716.458412884205
161.0,9660.0,9561.369863013699,0.0004704168138104768,4.646462390599072e-06,0.0018585849562396289,2716.5713238233207
162.0,9720.0,9621.369863013699,0.0004635561874154245,4.534071209467759e-06,0.0018136284837871035,2716.6814902265214
163.0,9780.0,9681.369863013699,0.0004568601533186655,4.425440452949852e-06,0.0017701761811799409,2716.7890043664706
164.0,9840.0,9741.369863013699,0.00045032325680563327,4.320410309300876e-06,0.0017281641237203503,2716.8939545756175
165.0,9900.0,9801.369863013699,0.0004439402724398527,4.218829166895164e-06,0.0016875316667580658,2716.996425449332
166.0,9960.0,9861.369863013699,0.00043770619244596563,4.120553123040475e-06,0.00164822124921619,2717.096498036811
167.0,10020.0,9921.369863013699,0.0004316162157786753,4.025445526324571e-06,0.0016101782105298285,2717.1942500206037
168.0,10080.0,9981.369863013699,0.0004256657378315438,3.933376549931404e-06,0.0015733506199725616,2717.289755885519
169.0,10140.0,10041.369863013699,0.0004198503407430292,3.844222793580613e-06,0.001537689117432245,2717.383087077641
170.0,10200.0,10101.369863013699,0.00041416578426031807,3.757866911940259e-06,0.0015031467647761037,2717.4743121541073
171.0,10260.0,10161.369863013699,0.00040860799712442417,3.674197267541134e-06,0.0014696789070164536,2717.563496924261
172.0,10320.0,10221.369863013699,0.0004031730689426961,3.593107606383071e-06,0.0014372430425532282,2717.650704582748
173.0,10380.0,10281.369863013699,0.00039785724251733374,3.514496754571353e-06,0.001405798701828541,2717.7359958350794
